Area Code,Date,Market,Market Size,Product,Product Length,Product Line,Product Combined,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Variance Column,Total Expenses,Order Date,Year,Month,Day,Day Name,Days Since Order,Month End Date,Customer Name,Clean Name,Trimmed Name,Proper Name,Hyphen Name,City,City Upper,City Lower,Location Combined,Full Location,Promo Code,Promo Check,Promo Missing Check,Full Product,,Display Today’s Date,Display Current Date and Time
719,40909,Central,Major Market,Amaretto,8,Beans,Beans - Amaretto,Coffee,Colorado,Regular,90,130,100,220,89,777,130,24,94,219,89,36,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,new york,NEW YORK,new york,"NEW YORK, Colorado, Central","NEW YORK, Colorado (Central Market)",SAVE10,Not Blank,Avalable,Beans - Amaretto,,14/02/2026,14/02/2026 20:48:43
970,40909,Central,Major Market,Colombian,9,Beans,Beans - Colombian,Coffee,Colorado,Regular,80,110,80,190,83,623,107,27,68,190,80,39,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,DELHI,DELHI,delhi,"DELHI, Colorado, Central","DELHI, Colorado (Central Market)",,Blank,Missing,Beans - Colombian,,,
970,40909,Central,Major Market,Decaf Irish Cream,17,Beans,Beans - Decaf Irish Cream,Coffee,Colorado,Decaf,100,140,110,240,95,821,139,26,101,234,94,38,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,LoNDoN,LONDON,london,"LONDON, Colorado, Central","LONDON, Colorado (Central Market)",,Blank,Missing,Beans - Decaf Irish Cream,,,
303,40909,Central,Major Market,Green Tea,9,Leaves,Leaves - Green Tea,Tea,Colorado,Regular,30,50,30,80,44,623,56,14,30,100,50,26,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,sydney,SYDNEY,sydney,"SYDNEY, Colorado, Central","SYDNEY, Colorado (Central Market)",,Blank,Missing,Leaves - Green Tea,,Count How Many Rows Have Promo Code,
303,40909,Central,Major Market,Caffe Mocha,11,Beans,Beans - Caffe Mocha,Espresso,Colorado,Regular,60,90,70,150,54,456,80,15,54,134,44,26,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,new york,NEW YORK,new york,"NEW YORK, Colorado, Central","NEW YORK, Colorado (Central Market)",,Blank,Missing,Beans - Caffe Mocha,,708,
720,40909,Central,Major Market,Decaf Espresso,14,Beans,Beans - Decaf Espresso,Espresso,Colorado,Decaf,80,130,80,210,72,558,108,23,53,180,50,55,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,DELHI,DELHI,delhi,"DELHI, Colorado, Central","DELHI, Colorado (Central Market)",,Blank,Missing,Beans - Decaf Espresso,,Count How Many Rows Have Blank Promo Codes,
970,40909,Central,Major Market,Chamomile,9,Leaves,Leaves - Chamomile,Herbal Tea,Colorado,Decaf,140,160,110,300,170,1091,171,47,99,341,181,72,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,LoNDoN,LONDON,london,"LONDON, Colorado, Central","LONDON, Colorado (Central Market)",SAVE10,Not Blank,Avalable,Leaves - Chamomile,,3542,
719,40909,Central,Major Market,Lemon,5,Leaves,Leaves - Lemon,Herbal Tea,Colorado,Decaf,50,80,20,130,63,435,87,57,0,150,70,87,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,sydney,SYDNEY,sydney,"SYDNEY, Colorado, Central","SYDNEY, Colorado (Central Market)",,Blank,Missing,Leaves - Lemon,,,
970,40909,Central,Major Market,Mint,4,Leaves,Leaves - Mint,Herbal Tea,Colorado,Decaf,50,70,40,120,60,336,80,19,33,140,70,47,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,new york,NEW YORK,new york,"NEW YORK, Colorado, Central","NEW YORK, Colorado (Central Market)",,Blank,Missing,Leaves - Mint,,,
719,40909,Central,Major Market,Darjeeling,10,Leaves,Leaves - Darjeeling,Tea,Colorado,Regular,40,70,20,110,58,338,72,22,17,130,60,55,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,DELHI,DELHI,delhi,"DELHI, Colorado, Central","DELHI, Colorado (Central Market)",,Blank,Missing,Leaves - Darjeeling,,,
